Driver,WG,AC,ON,OF,MT,SL,SW,SA,SG,TL,TW,TA,TG,IV
Mario,6,2,4,2,3,7,7,7,7,4,4,4,4,3
Luigi,6,2,5,1,3,7,7,7,7,5,5,5,5,3
Princess Peach,4,3,3,3,4,6,6,6,6,5,5,5,5,1
Princess Daisy,4,3,3,3,4,6,6,6,6,5,5,5,5,1
Yoshi,4,3,3,3,4,6,6,6,6,5,5,5,5,1
Toad,3,4,3,4,4,4,4,4,4,7,7,7,7,3
Toadette,2,5,4,2,4,3,3,3,3,7,7,7,7,3
Koopa Troopa,2,4,1,5,4,3,3,3,3,8,8,8,8,4
Bowser,10,0,6,0,0,10,10,10,10,0,0,0,0,6
Donkey Kong,8,1,10,0,1,9,9,9,9,2,2,2,2,4
Wario,9,0,5,1,0,10,10,10,10,1,1,1,1,5
Waluigi,8,1,10,0,1,9,9,9,9,2,2,2,2,4
Rosalina,7,1,9,3,2,8,8,8,8,3,3,3,3,4
Metal Mario,10,1,8,1,1,8,8,8,8,3,3,3,3,3
Pink Gold Peach,10,1,8,1,1,8,8,8,8,3,3,3,3,3
Lakitu,2,4,1,5,4,3,3,3,3,8,8,8,8,4
Shy Guy,3,4,3,4,4,4,4,4,4,7,7,7,7,3
Baby Mario,1,5,2,4,5,2,2,2,2,8,8,8,8,5
Baby Luigi,1,5,2,4,5,2,2,2,2,8,8,8,8,5
Baby Peach,0,4,3,5,5,1,1,1,1,10,10,10,10,6
Baby Daisy,0,4,3,5,5,1,1,1,1,10,10,10,10,6
Baby Rosalina,0,5,4,3,5,1,1,1,1,9,9,9,9,6
Larry Koopa,3,4,3,4,4,4,4,4,4,7,7,7,7,3
Lemmy Koopa,0,5,4,3,5,1,1,1,1,9,9,9,9,6
Wendy O. Koopa,2,5,4,2,4,3,3,3,3,7,7,7,7,3
Ludwig von Koopa,6,2,4,2,3,7,7,7,7,4,4,4,4,3
Iggy Koopa,6,2,5,1,3,7,7,7,7,5,5,5,5,3
Roy Koopa,8,1,10,0,1,9,9,9,9,2,2,2,2,4
Morton Koopa Jr.,10,0,6,0,0,10,10,10,10,0,0,0,0,6
Mii,6,2,4,2,3,7,7,7,7,4,4,4,4,3
Tanooki Mario,5,3,7,1,4,6,6,6,6,5,5,5,5,1
Link,7,1,9,3,2,8,8,8,8,3,3,3,3,4
Villager,5,3,7,1,4,6,6,6,6,5,5,5,5,1
Isabelle,2,5,4,2,4,3,3,3,3,7,7,7,7,3
Cat Mario,3,4,2,3,4,5,5,5,5,6,6,6,6,3
Dry Bowser,9,0,5,1,0,10,10,10,10,1,1,1,1,5
Villager,3,4,2,3,4,5,5,5,5,6,6,6,6,3
Gold Mario,10,1,8,1,1,8,8,8,8,3,3,3,3,3
Dry Bones,1,5,2,4,5,2,2,2,2,8,8,8,8,5
Bowser Jr.,2,4,1,5,4,3,3,3,3,8,8,8,8,4
King Boo,7,1,9,3,2,8,8,8,8,3,3,3,3,4
Inkling,3,4,2,3,4,5,5,5,5,6,6,6,6,3
Inkling,5,3,7,1,4,6,6,6,6,5,5,5,5,1
Link,7,1,9,3,2,8,8,8,8,3,3,3,3,4
Birdo,4,3,3,3,4,6,6,6,6,5,5,5,5,1
Kamek,6,2,5,1,3,7,7,7,7,5,5,5,5,3
Petey Piranha,10,1,8,1,1,8,8,8,8,3,3,3,3,6
Wiggler,8,1,10,0,1,9,9,9,9,2,2,2,2,4
Diddy Kong,3,4,2,3,4,5,5,5,5,6,6,6,6,3
Funky Kong,9,0,5,1,0,10,10,10,10,1,1,1,1,5
Peachette,4,3,3,3,4,6,6,6,6,5,5,5,5,1
Pauline,7,1,9,3,2,8,8,8,8,3,3,3,3,4
