Body,WG,AC,ON,OF,MT,SL,SW,SA,SG,TL,TW,TA,TG,IV,Image
Standard Kart,2,4,3,3,5,3,3,3,3,3,2,3,3,3,Standard Kart.png
Pipe Frame,1,6,3,4,6,2,3,1,1,5,4,4,2,3,Pipe Frame.png
Mach 8,3,3,2,4,5,3,3,5,4,2,2,4,2,3,Mach 8.png
Steel Driver,4,1,1,3,3,4,5,2,0,1,5,1,1,6,Steel Driver.png
Cat Cruiser,2,5,4,3,6,2,2,3,4,4,2,3,4,3,Cat Cruiser.png
Circuit Special,3,1,3,1,3,5,1,4,2,1,1,2,0,6,Circuit Special.png
Tri-Speeder,4,1,1,3,3,4,5,2,0,1,5,1,1,6,Tri-Speeder.png
Badwagon,4,0,2,5,3,5,2,3,1,0,1,1,0,7,Badwagon.png
Prancer,1,2,1,2,4,4,3,3,3,3,3,2,3,5,Prancer.png
Biddybuggy,0,7,1,4,7,0,1,2,1,5,4,5,4,0,Biddybuggy.png
Landship,0,6,0,6,6,2,5,0,2,4,5,2,3,2,Landship.png
Sneeker,2,2,1,0,4,4,2,3,3,3,2,3,2,5,Sneeker.png
Sports Coupe,3,3,2,4,5,3,3,5,4,2,2,4,2,3,Sports Coupe.png
Gold Standard,2,2,1,0,4,4,2,3,3,3,2,3,2,4,Gold Standard.png
Standard Bike,1,5,3,5,5,2,2,4,3,4,3,4,3,4,Standard Bike.png
Comet,2,5,4,3,6,2,2,3,4,4,2,3,4,2,Comet.png
Sport Bike,1,2,1,2,4,4,3,3,3,3,3,2,3,3,Sport Bike.png
The Duke,2,4,3,3,5,3,3,3,3,3,2,3,3,3,The Duke.png
Flame Rider,1,5,3,5,5,2,2,4,3,4,3,4,3,4,Flame Rider.png
Varmint,1,6,3,4,6,2,3,1,1,5,4,4,2,2,Varmint.png
Mr. Scooty,0,7,1,4,7,0,1,2,1,5,4,5,4,0,Mr. Scooty.png
Jet Bike,1,2,1,2,4,4,3,3,3,3,3,2,3,3,Jet Bike.png
Yoshi Bike,2,5,4,3,6,2,2,3,4,4,2,3,4,2,Yoshi Bike.png
Standard ATV,4,0,2,5,3,5,2,3,1,0,1,1,0,6,Standard ATV.png
Wild Wiggler,1,5,3,5,5,2,2,4,3,4,3,4,3,4,Wild Wiggler.png
Teddy Buggy,2,5,4,3,6,2,2,3,4,4,2,3,4,1,Teddy Buggy.png
GLA,4,0,2,5,3,5,2,3,1,0,1,1,0,7,GLA.png
W 25 Silver Arrow,1,5,3,5,5,2,2,4,3,4,3,4,3,4,W 25 Silver Arrow.png
300 SL Roadster,2,4,3,3,5,3,3,3,3,3,2,3,3,4,300 SL Roadster.png
Blue Falcon,0,3,1,3,4,4,2,4,3,2,3,5,1,4,Blue Falcon.png
Tanooki Kart,3,2,4,7,5,3,4,3,3,4,4,3,3,4,Tanooki Kart.png
B Dasher,3,1,3,1,3,5,1,4,2,1,1,2,0,6,B Dasher.png
Master Cycle,2,2,1,0,4,4,2,3,3,3,2,3,2,3,Master Cycle.png
Streetle,0,6,0,6,6,2,5,0,2,4,5,2,3,3,Streetle.png
P-Wing (kart),3,1,3,1,3,5,1,4,2,1,1,2,0,6,P-Wing (kart).png
City Tripper,1,6,3,4,6,2,3,1,1,5,4,4,2,2,City Tripper.png
Bone Rattler,4,1,1,3,3,4,5,2,0,1,5,1,1,5,Bone Rattler.png
Koopa Clown,3,2,4,7,5,3,4,3,3,4,4,3,3,3,Koopa Clown.png
Splat Buggy,0,3,1,3,4,4,2,4,3,2,3,5,1,3,Splat Buggy.png
Inkstriker,3,3,2,4,5,3,3,5,4,2,2,4,2,1,Inkstriker.png
Master Cycle Zero,3,2,4,7,5,3,4,3,3,4,4,3,3,3,Master Cycle Zero.png
