Tire,WG,AC,ON,OF,MT,SL,SW,SA,SG,TL,TW,TA,TG,IV,Image
Standard (tire),2,4,2,5,4,2,3,2,3,3,3,3,3,4,Standard (tire).png
Monster (tire),4,2,3,7,3,3,2,2,1,0,1,0,1,6,Monster (tire).png
Roller,0,6,0,4,6,0,3,0,3,4,4,4,4,0,Roller.png
Slim (tire),2,2,4,1,3,3,2,4,2,4,4,3,4,5,Slim (tire).png
Slick,3,1,4,0,2,4,0,4,0,2,0,2,1,5,Slick.png
Metal,4,0,1,2,2,4,3,1,2,2,2,1,0,6,Metal.png
Button (tire),0,5,1,3,5,1,2,2,2,3,3,4,2,3,Button (tire).png
Off-Road,3,3,3,6,3,3,4,2,1,1,1,2,2,6,Off-Road.png
Sponge,1,4,2,6,5,1,1,1,4,2,1,2,3,4,Sponge.png
Wood,2,2,4,1,3,3,2,4,2,4,4,3,4,5,Wood.png
Cushion,1,4,2,6,5,1,1,1,4,2,1,2,3,6,Cushion.png
Blue Standard,2,4,2,5,4,2,3,2,3,3,3,3,3,4,Blue Standard.png
Hot Monster,4,2,3,7,3,3,2,2,1,0,1,0,1,6,Hot Monster.png
Azure Roller,0,6,0,4,6,0,3,0,3,4,4,4,4,0,Azure Roller.png
Crimson Slim,2,2,4,1,3,3,2,4,2,4,4,3,4,5,Crimson Slim.png
Cyber Slick,3,1,4,0,2,4,0,4,0,2,0,2,1,5,Cyber Slick.png
Retro Off-Road,3,3,3,6,3,3,4,2,1,1,1,2,2,6,Retro Off-Road.png
Gold Tires,4,0,1,2,2,4,3,1,2,2,2,1,0,5,Gold Tires.png
GLA Tires,2,4,2,5,4,2,3,2,3,3,3,3,3,5,GLA Tires.png
Triforce Tires,3,3,3,6,3,3,4,2,1,1,1,2,2,5,Triforce Tires.png
Leaf Tires,0,5,1,3,5,1,2,2,2,3,3,4,2,3,Leaf Tires.png
Ancient Tires,4,2,3,7,3,3,2,2,1,0,1,0,1,5,Ancient Tires.png
